id,National_Average_Unit_Cost,Total Costs,No. Data Submissions,
266,4476,1190520,65,"£2,168,814.39"
263,3869,1017426,65,"£2,941,422.37"
404,5683,2296080,21,"£1,103,004.80"
938,5765,5407230,18,"£1,153,097.17"
821,3659,3003761,102,"£604,893.93"
842,3267,2750873,104,"£498,425.70"
284,3330,945725,66,"£766,401.69"
429,2798,1200505,84,"£176,594.93"
197,2400,472790,62,"£33,607.05"
149,2937,437578,45,"£236,535.82"
294,1767,519403,82,"£216,804.71"
86,1732,148958,35,"£89,420.31"
10,1817,18170,5,"£5,200,404.45"
84,1779,149476,40,"£3,124,085.11"
78,1755,136852,34,"£2,571,936.12"
22,1019,22427,15,"£3,656,061.83"
384,21678,8324220,47,"£3,213,907.13"
457,10000,4570117,61,"£2,410,843.09"
542,6556,3553253,59,"£4,524,904.69"
610,7476,4560119,69,"£1,638,497.92"
512,6073,3109252,70,"£3,531,066.50"
521,5133,2674225,66,"£1,364,970.35"
850,5130,4360260,65,"£1,960,575.66"
261,4526,1181298,57,"£1,605,790.68"
818,4137,3384335,80,"£354,806.47"
607,2186,1326660,71,"£1,502,575.72"
614,3497,2147301,62,"£1,612,530.04"
676,2845,1923476,58,"£3,014,097.31"
249,1031,256784,62,"£825,622.08"
148,11938,1766770,54,"£1,998,824.11"
281,6277,1763905,68,"£5,579,433.45"
509,5007,2548569,84,"£1,287,975.21"
229,4646,1063868,52,"£2,500,030.04"
622,3146,1956593,68,"£1,576,727.08"
"2,016",1732,3491847,74,"£729,761.72"
459,4485,2058407,86,"£1,007,591.91"
963,2552,2457559,117,"£473,357.70"
484,2237,1082786,89,"£1,728,928.35"
481,2012,967650,97,"£235,173.95"
936,1144,1070677,114,"£734,062.00"
520,916,476191,82,"£141,215.80"
752,1844,1387036,87,"£46,730.58"
110,3892,428066,28,"£15,641.32"
235,2395,562814,59,"£1,904,562.96"
38,2904,110338,28,"£268,037.65"
52,1214,63147,19,"£726,490.74"
12,1576,18914,10,"£281,384.67"
"1,067",1785,1904319,88,"£2,129,047.37"
211,1685,355625,59,"£1,252,478.15"
541,1295,700640,79,"£106,919.39"
330,1397,460850,66,"£43,146.71"
"1,320",1899,2506066,98,"£10,343.21"
992,1588,1575172,102,"£10,800.96"
162,539,87296,31,"£34,429.44"
70,795,55679,27,"£1,163.96"
62,658,40770,8,£539.47
29,2006,58165,4,"£12,173.95"
19,1764,33522,7,£417.50
2,811,1623,2,"£3,191.28"
7,6035,42246,5,"£1,944,737.16"
33,56208,1854853,6,"£19,701,613.34"
"4,163",9782,40724181,37,"£26,392,450.03"
"3,619",7500,27143009,42,"£24,233,888.61"
"2,546",6506,16565363,40,"£1,265,521.28"
196,6638,1301006,32,"£523,989.50"
65,9017,586076,15,"£124,276.15"
13,6981,90752,13,"£67,605.97"
18,4441,79943,16,"£71,726.63"
39,3845,149936,23,"£68,238.35"
62,3621,224506,37,"£195,433.61"
109,2038,222098,57,"£255,235.30"
204,1475,300825,71,"£180,523.56"
192,557,107009,48,"£271,779.54"
31,9256,286922,20,"£278,428.92"
45,4684,210778,33,"£269,707.61"
52,4311,224162,39,"£44,717.38"
62,3953,245057,29,"£87,091.06"
49,2131,104428,29,"£119,072.72"
93,1569,145947,41,"£207,221.16"
27,13001,351015,22,"£588,305.34"
53,13835,733263,41,"£462,235.11"
42,7888,331276,34,"£247,089.84"
90,7799,701893,46,"£826,193.31"
142,5793,822616,71,"£864,955.12"
185,3372,623861,74,"£489,635.65"
219,4201,920106,64,"£1,906,135.84"
610,2885,1760035,113,"£1,781,752.51"
662,2472,1636517,111,"£1,916,508.78"
674,2299,1549743,115,"£1,052,483.76"
564,1488,839360,95,"£1,175,097.04"
301,4359,1312124,55,"£1,367,442.03"
392,3792,1486539,63,"£1,627,091.28"
595,2616,1556750,70,"£442,741.28"
178,2130,379134,32,"£254,571.38"
40,6997,279870,26,"£137,493.08"
56,3476,194630,20,"£152,203.91"
43,3972,170775,27,"£167,302.96"
49,2654,130049,25,"£581,014.90"
91,5030,457752,26,"£207,932.99"
78,3203,249809,23,"£381,548.60"
141,3351,472547,23,"£721,535.36"
323,2233,721287,46,"£716,815.49"
493,1225,603802,66,"£165,251.61"
61,7366,449323,36,"£491,868.44"
128,3912,500694,49,"£838,747.81"
185,3222,596088,63,"£160,874.28"
75,4727,354551,49,"£696,168.43"
254,3014,765667,78,"£1,479,073.33"
356,2543,905171,91,"£125,815.75"
125,2344,292984,55,"£440,067.36"
385,1484,571390,93,"£814,260.26"
761,1034,787245,102,"£160,727.11"
40,8678,347102,29,"£212,076.64"
66,4430,292396,36,"£718,076.59"
131,3624,474709,53,"£316,622.93"
93,5767,536365,48,"£558,111.01"
167,3254,543444,69,"£1,542,623.39"
445,2889,1285621,97,"£211,790.57"
111,4803,533134,47,"£985,445.47"
433,2926,1266880,94,"£2,251,823.23"
"1,009",1995,2012478,112,"£2,531,750.06"
"1,072",1879,2014007,99,"£529,772.65"
636,1654,1051961,24,"£964,756.01"
970,912,884535,25,"£219,106.10"
425,982,417457,26,"£829,813.73"
"1,414",545,769942,36,"£502,281.70"
108,4261,460140,44,"£449,860.69"
220,2775,610583,70,"£1,260,698.09"
470,1995,937598,97,"£143,304.15"
53,1912,101323,34,"£496,640.04"
405,1230,498298,84,"£863,691.07"
793,1064,843683,110,"£18,009.61"
6,2206,13239,5,"£29,124.86"
17,1726,29344,12,"£22,937.00"
7,2003,14023,4,"£233,066.10"
36,9614,346102,15,"£451,271.80"
84,5211,437760,37,"£180,467.04"
52,3305,171868,28,"£585,006.38"
150,3786,567950,56,"£926,830.77"
372,2437,906698,92,"£818,528.45"
467,1463,683123,90,"£37,458.19"
3,7569,22706,3,"£40,159.78"
4,3361,13444,4,"£33,504.97"
8,2991,23932,5,"£61,592.48"
18,2787,50171,12,"£66,950.58"
15,3189,47829,12,"£37,765.51"
9,10160,91436,9,"£69,395.92"
9,6946,62517,9,"£84,926.69"
33,8776,289607,27,"£173,222.70"
29,3860,111940,24,"£144,357.25"
38,3512,133458,22,"£60,512.97"
94,3590,337458,37,"£232,845.66"
84,2474,207853,48,"£242,960.40"
66,1231,81250,35,"£194,801.30"
35,5051,176797,17,"£149,122.33"
142,3214,456381,35,"£1,332,188.01"
28,3657,102404,16,"£107,725.87"
41,3251,133296,17,"£108,511.69"
119,2500,297530,32,"£290,503.68"
201,1364,274264,35,"£716,306.47"
45,6977,313979,29,"£125,856.07"
44,3686,162182,28,"£108,086.19"
53,3391,179748,41,"£64,432.86"
50,2082,104076,37,"£116,618.96"
28,2033,56924,23,"£98,914.98"
103,1560,160679,57,"£94,305.29"
146,1041,151987,59,"£130,000.46"
178,833,148333,51,"£137,412.11"
21,9853,206908,16,"£160,248.06"
84,3768,316504,27,"£301,858.05"
95,3796,360589,28,"£119,514.45"
425,1651,701665,39,"£406,774.91"
579,1182,684588,51,"£734,785.09"
83,3281,272350,37,"£127,267.16"
209,1567,327464,62,"£272,414.68"
292,889,259620,63,"£364,273.19"
13,856,11133,6,"£5,388.56"
23,348,8009,12,"£21,819.00"
79,5304,419028,28,"£458,478.60"
197,4103,808231,30,"£289,778.82"
206,1792,369189,42,"£400,304.27"
153,1520,232580,37,"£370,422.43"
38,369,14031,9,"£21,017.47"
4,1070,4280,2,"£4,978.55"
4,613,2453,3,"£4,571.31"
2,329,657,1,£200.12
381,1406,535825,57,"£1,796,045.35"
227,2960,671892,36,"£386,184.47"
3,119,358,1,"£8,032.35"
3,813,2439,3,"£1,062.32"
3,1546,4637,1,£518.13
20,656,13120,6,"£8,405,632.93"
"16,241",636,10321667,75,"£228,053.55"
13,26964,350526,9,£329.77
13,1892,24591,2,£144.21
4,1198,4793,2,"£3,612,919.68"
8,489,3913,6,"£3,153,535.43"
17,678,11533,5,"£2,443,558.87"
5,1536,7680,1,"£2,700,755.93"
643,13313,8560081,29,"£3,649,565.86"
391,10122,3957765,31,"£5,174,819.24"
199,8603,1712070,30,"£1,576,726.87"
799,6688,5343415,69,"£291,927.65"
"1,143",5163,5900786,74,"£2,931,698.60"
"1,043",4779,4984981,82,"£5,292,960.64"
210,7309,1534936,27,"£6,102,289.52"
47,9494,446201,16,"£443,453.39"
787,4691,3691728,84,"£69,026.08"
"1,039",3483,3619233,90,"£118,371.70"
"1,100",3113,3424573,96,"£201,529.71"
99,5179,512768,26,"£300,172.33"
47,4516,212239,7,"£334,463.18"
5,7388,36941,5,"£529,641.32"
37,4995,184812,13,"£70,377.78"
63,4900,308704,19,"£250,366.68"
115,3712,426850,28,"£658,564.96"
136,3642,495314,22,"£983,498.67"
58,4389,254548,31,"£579,489.48"
88,3513,309158,37,"£259,262.49"
189,3064,579096,67,"£1,630,280.95"
221,2358,521197,68,"£269,526.42"
711,910,647294,91,"£749,052.76"
144,4850,698396,17,"£541,764.29"
843,2690,2267264,45,"£15,690.69"
140,2256,315863,37,"£920,565.26"
961,1505,1446748,92,"£519,761.04"
225,1474,331736,18,"£356,784.42"
51,902,46013,28,"£150,578.98"
724,1806,1307571,91,"£459,681.23"
109,7300,795718,36,"£1,496,768.85"
120,4311,517315,39,"£1,378,896.22"
75,2525,189399,29,"£1,477,205.27"
298,5096,1518740,62,"£220,361.61"
408,3951,1612168,91,"£326,925.26"
424,3461,1467428,95,"£81,968.33"
492,1883,926635,92,"£66,384.17"
131,1515,198497,41,"£59,658.60"
315,1135,357375,84,"£946,143.42"
55,4640,255192,28,"£2,187,099.76"
27,1201,32428,19,"£2,196,713.03"
36,2921,105138,21,"£1,190,142.44"
385,3999,1539541,46,"£298,070.52"
600,3296,1977590,55,"£564,839.82"
648,2530,1639447,60,"£823,854.68"
379,2039,772944,67,"£1,542,420.46"
222,2624,582618,69,"£1,950,342.84"
391,1785,697970,95,"£67,773.96"
769,1434,1102533,119,"£112,637.64"
"1,209",1165,1408888,130,"£184,458.55"
"1,602",1028,1646105,126,"£221,841.98"
44,2307,101496,28,"£242,277.17"
72,1357,97707,39,"£359,722.72"
