"","H","S1","S2","D","Total discounted cost","Cumulative cost"
"58",185.994856894717,98.504646681053,125.641865524539,29.339704418537,79.1372844813621,115067.320660189
"59",166.881120698395,87.5168011541739,97.2546048841892,27.659897331183,66.3133259132294,115133.633986103
"60",148.32949798124,76.984348246747,75.3449464311003,26.0223718572518,55.4486035035197,115189.082589606
"61",130.493487112081,67.0007054426413,58.5056881327017,24.3773808591043,46.2032028860519,115235.285792492
"62",113.567152847119,57.6882935641774,45.6091332074015,22.6332304533079,38.3171866864799,115273.602979179
"63",97.2931139218677,48.673626509555,34.9870509410601,21.5629125531382,31.456883500852,115305.059862679
"64",82.1607782712097,40.6219100543868,26.87934931127,19.6289443025172,25.5300369230207,115330.589899602
"65",68.5615448434589,33.597901750241,20.8736699187293,17.3445322452628,20.5531484064884,115351.143048009
"66",56.3062462805612,27.2539778671233,16.0609570604173,15.5589842986908,16.3727212425285,115367.515769251
"67",45.3432551102552,21.6607375031686,12.1436223157448,13.8223489554644,12.8306484855682,115380.346417737
"68",35.7210294018475,16.8502693149879,9.03210416589106,12.0312167202587,9.86621937242755,115390.212637109
"69",27.4231930568776,12.7714905291224,6.59240228345875,10.3016858581617,7.42646595643018,115397.639103066
"70",20.5795155989246,9.51029700946162,4.76002633293519,8.40742214825018,5.46327785212586,115403.102380918
"71",14.9042572308731,6.79534378570709,3.3507564247049,6.96399972968626,3.92556191727512,115407.027942835
"72",10.5797795599511,4.82580557062707,2.31908307671709,5.23398103605846,2.73316691082571,115409.761109746
"73",7.2740793706356,3.28792815756825,1.59048618477927,4.00961723544368,1.86801638078643,115411.629126127
"74",4.8334609730401,2.1840328980639,1.04937629331388,2.94075025577706,1.23520436305123,115412.86433049
"75",3.12784312057406,1.41360611618837,0.680470716963603,2.04849546367401,0.792076946763601,115413.656407437
"76",1.96006236696286,0.886298796469266,0.431162488598789,1.40071484111858,0.494826876697744,115414.151234313
"77",1.17778582890902,0.53479678013473,0.264212529596063,0.93649576249439,0.299169661565586,115414.450403975
"78",0.68402711780015,0.312797697774588,0.156166783113538,0.589828981642921,0.173759737859164,115414.624163713
"79",0.389309318802518,0.178756666232724,0.0901032943372662,0.35203082827215,0.0977837433207344,115414.721947456
"80",0.214747527337601,0.0992224135678234,0.050938635673553,0.208498954823452,0.0538871749842331,115414.775834631
"81",0.114223592599286,0.0533194998624522,0.0278819863721663,0.120003544317917,0.0287796759187358,115414.804614307
"82",0.0582888673620081,0.0275376391324524,0.0147705592755547,0.0668041983291393,0.0148288102285132,115414.819443117
"83",0.0288877251181175,0.0137886083827661,0.00751808137301076,0.0351451024760084,0.00733939956452177,115414.826782517
"84",0.0146041880762721,0.00691707288399954,0.00373713830542627,0.0171208876994274,0.00353856168040957,115414.830321079
"85",0.00739426255282687,0.00350558989895471,0.00188526880279615,0.0086269503105824,0.000867889812700313,115414.831188968
