"","H","S1","S2","D","Total discounted utility","Cumulative utility"
"22",0.48508769878036,0.116818025748173,0.14498368721709,0,0.389795982978646,14.5830458332108
"23",0.47273636007276,0.113773948152712,0.147163397006796,0,0.37174641248103,14.9547922456918
"24",0.460509349409698,0.11073931309662,0.1486442278651,0,0.35413959932466,15.3089318450165
"25",0.448383766951566,0.107719738461147,0.149386698195876,0,0.336946050303004,15.6458778953195
"26",0.436356449475017,0.104723796577304,0.149398320740266,0,0.320171270831018,15.9660491661505
"27",0.424419908371454,0.101747656090912,0.148663237933729,0,0.303801441732198,16.2698506078827
"28",0.412576129568776,0.0987962566509086,0.147206320737844,0,0.287849442944174,16.5577000508269
"29",0.400815674763634,0.0958619558474651,0.145013187371006,0,0.272299164332906,16.8299992151598
"30",0.389152309330511,0.092958982029683,0.142165311177189,0,0.257193694520976,17.0871929096808
"31",0.377595899080455,0.0900880203753619,0.138718376311901,0,0.242553123103251,17.329746032784
"32",0.366128921481858,0.0872320615279734,0.134642306944017,0,0.228343453683455,17.5580894864675
"33",0.354721759677273,0.084378206243902,0.129896771236052,0,0.214526704214804,17.7726161906823
"34",0.343422624864669,0.081574219799634,0.124729160613924,0,0.20122440048799,17.9738405911703
"35",0.332244276727743,0.0788070302330895,0.119196701848515,0,0.188441339051797,18.1622819302221
"36",0.321187920868455,0.0760716764390642,0.113349503737924,0,0.176176696389724,18.3384586266118
"37",0.310220109165459,0.0733441699920778,0.107137507372243,0,0.164376725617493,18.5028353522293
"38",0.299316094385583,0.0706224576908068,0.100580831500738,0,0.153025208739555,18.6558605609688
"39",0.28844521261015,0.0678964443806345,0.0936869429567184,0,0.142098126233499,18.7979586872023
"40",0.277755220783429,0.0652825905107676,0.0870045675506683,0,0.131832433057534,18.9297911202599
"41",0.26718277987593,0.0626706211841012,0.0802847763729026,0,0.122068605781133,19.051859726041
"42",0.25670193744218,0.0600713511038787,0.0735672819278632,0,0.112792508351711,19.1646522343927
"43",0.24627816265557,0.0574725903716051,0.0668520720304431,0,0.103970004613697,19.2686222390064
"44",0.23594369861787,0.054911776672552,0.0603178519099224,0,0.0956497050881047,19.3642719440945
"45",0.225591512428801,0.0523019227739547,0.0537703372487552,0,0.0877047115396339,19.4519766556341
"46",0.215274180694892,0.0497261368482485,0.0474835371494814,0,0.0802260198869478,19.5322026755211
"47",0.204866139282836,0.0470770345685972,0.0412688344578467,0,0.0730856630677195,19.6052883385888
"48",0.194442029092742,0.0444598095327474,0.0354361729663467,0,0.0663894698599433,19.6716778084488
"49",0.184053069610418,0.0418754602196635,0.0300957115172648,0,0.0601529703106041,19.7318307787594
"50",0.173777133513248,0.0393538192949879,0.0253583303083435,0,0.0544010939328746,19.7862318726922
"51",0.163481933673571,0.0367773379621986,0.0210311099406189,0,0.0490076725504371,19.8352395452427
"52",0.153239505005743,0.034249091128458,0.0172557672254442,0,0.0440226589022349,19.8792622041449
"53",0.142992638253564,0.0317024304603708,0.0139473722083315,0,0.039379164533492,19.9186413686784
"54",0.132848117133678,0.0292291438349288,0.0111853953963009,0,0.0351151747803863,19.9537565434588
"55",0.122750460589771,0.0267522184243376,0.00886018470562862,0,0.0311606126550051,19.9849171561138
"56",0.112685010978982,0.0242882861747336,0.00693224612768401,0,0.0274911520533061,20.0124083081671
"57",0.102767157966807,0.0219116771892466,0.00540289662299149,0,0.0241265098838907,20.036534818051
"58",0.0929974284473585,0.0195796228472324,0.00418806218415132,0,0.0210258747410416,20.057560692792
"59",0.0834405603491975,0.0173327107430081,0.00324182016280631,0,0.0181844469324644,20.0757451397245
"60",0.0741647489906198,0.0151860519056385,0.00251149821437001,0,0.0155920718840593,20.0913372116086
"61",0.0652467435560407,0.0131593012363505,0.00195018960442339,0,0.0132418562779173,20.1045790678865
"62",0.0567835764235593,0.0112786843669741,0.00152030444024672,0,0.0111324948702887,20.1157115627568
"63",0.0486465569609338,0.00945189602129468,0.00116623503136867,0,0.00920557341898459,20.1249171361757
"64",0.0410803891356049,0.00784170021074219,0.000895978310375668,0,0.00751284617845193,20.1324299823542
"65",0.0342807724217294,0.0064543922190229,0.000695788997290976,0,0.0060660407570645,20.1384960231113
"66",0.0281531231402806,0.00520014606728507,0.000535365235347245,0,0.00481722840545008,20.1433132515167
"67",0.0226716275551276,0.00409924046041962,0.000404787410524827,0,0.00375047238449543,20.1470637239012
"68",0.0178605147009238,0.00316025478932551,0.000301070138863036,0,0.00285688916896385,20.1499206130702
"69",0.0137115965284388,0.00237015739239479,0.000219746742781958,0,0.00212060158334941,20.1520412146535
"70",0.0102897577994623,0.00174965251862885,0.000158667544431173,0,0.00154058502425367,20.1535817996778
"71",0.00745212861543653,0.0012318868908004,0.000111691880823497,0,0.00107851904599377,20.1546603187238
"72",0.00528988977997553,0.000869468548175847,7.73027692239029e-05,0,0.000742458128294055,20.1554027768521
"73",0.0036370396853178,0.000584495779340868,5.3016206159309e-05,0,0.00049405257562492,20.1558968294277
"74",0.00241673048652005,0.000383682714972752,3.49792097771295e-05,0,0.000318169499280477,20.156214998927
"75",0.00156392156028703,0.00024601033328268,2.26823572321201e-05,0,0.000199654547509979,20.1564146534745
"76",0.00098003118348143,0.000152435376235795,1.4372082953293e-05,0,0.000121303474472266,20.1565359569489
"77",0.000588892914454508,9.06305775952504e-05,8.80708431986876e-06,0,7.06855691951581e-05,20.1566066425181
"78",0.000342013558900075,5.2426803772341e-05,5.20555943711794e-06,0,3.98448190513334e-05,20.1566464873372
"79",0.000194654659401259,2.97574548561068e-05,3.00344314457554e-06,0,2.2013009426401e-05,20.1566685003466
"80",0.0001073737636688,1.63387689920863e-05,1.69795452245177e-06,0,1.17857134718441e-05,20.1566802860601
"81",5.71117962996431e-05,8.67713024112818e-06,9.29399545738877e-07,0,6.08737337602397e-06,20.1566863734335
"82",2.91444336810041e-05,4.41991385633319e-06,4.92351975851825e-07,0,3.01682509273913e-06,20.1566893902586
"83",1.44438625590587e-05,2.19280739049968e-06,2.50602712433692e-07,0,1.45234523782465e-06,20.1566908426038
"84",7.30209403813602e-06,1.10657641244483e-06,1.24571276847542e-07,0,7.12503780707741e-07,20.1566915551076
"85",3.69713127641344e-06,5.61487359835944e-07,6.28422934265382e-08,0,1.75160628687171e-07,20.1566917302682
